Date,AAPL,CVX,IBM,XOM,GS,BA,TEVA,CME
3/27/2015,114.032494,86.669632,131.697449,70.252861,175.981796,131.525192,57.344879,79.435753
3/30/2015,116.919159,88.847176,133.561218,71.975967,178.75174,134.927094,57.844501,79.964417
3/31/2015,115.124252,87.25145,131.779541,71.446419,175.897583,132.612045,57.640945,79.477715
4/1/2015,114.957703,87.093529,130.69574,70.992516,179.883987,131.339661,57.862995,79.301483
4/2/2015,115.947678,87.500771,131.73851,70.858047,179.247665,131.905151,59.028778,77.967201
4/6/2015,117.825859,88.8638,133.043976,71.555687,179.71553,133.363083,59.611664,77.287468
4/7/2015,116.586082,90.210205,133.068573,72.076843,180.033737,134.591339,59.445122,76.011932
4/8/2015,116.206741,88.647713,132.887985,70.656319,180.19278,135.510269,61.545361,75.827316
4/9/2015,117.094955,88.888733,133.290268,71.152229,182.373154,135.563293,62.118988,76.238541
4/10/2015,117.594566,88.855499,133.717224,71.91713,183.074982,136.41156,61.406586,77.43013
4/13/2015,117.363266,88.514717,133.323135,71.732208,183.018845,135.404236,61.082752,77.228745
4/14/2015,116.854393,90.459557,133.257431,72.816521,185.021423,135.377731,61.119762,76.532219
4/15/2015,117.298492,91.764435,134.759995,74.035316,188.184311,134.688492,61.036488,76.490273
4/16/2015,116.734108,91.556656,133.938904,73.741112,187.351471,134.282074,58.741962,76.800766
4/17/2015,115.420311,90.683968,131.919113,73.068695,184.675171,132.187912,60.055771,75.449699
4/20/2015,118.057198,91.664688,136.426743,73.329247,185.376999,134.900574,58.556915,76.188164
4/21/2015,117.41877,91.199257,134.866699,73.026649,184.197922,135.483765,59.361858,75.726616
4/22/2015,119.0009,91.008118,135.769852,73.514175,185.582886,133.59288,58.297852,76.087471
4/23/2015,119.972366,91.398712,139.776642,73.581413,186.509293,132.426468,58.519905,75.785355
4/24/2015,120.536766,91.315643,139.398941,73.102303,185.274048,131.127563,59.593159,75.43293
4/27/2015,122.729507,91.174332,140.17894,73.135918,183.898499,130.597427,57.021061,74.568565
4/28/2015,120.79583,92.35453,142.798126,73.799957,184.806183,130.341171,56.715736,75.114029
4/29/2015,119.019402,92.861504,143.1922,73.85881,185.807449,129.13942,57.437408,74.853882
4/30/2015,115.790398,92.304649,140.638748,73.438522,183.804886,126.656494,55.901543,76.288864
5/1/2015,119.306213,90.625778,142.59285,74.682518,184.843643,127.831718,57.520672,76.179779
5/4/2015,119.074913,90.027382,142.839172,74.90107,186.499893,127.257401,57.298622,76.213341
5/5/2015,116.3918,89.761406,142.108429,74.480797,184.618988,126.276543,56.86377,76.288864
5/6/2015,115.660881,89.719872,140.677277,74.127762,183.645813,125.422836,55.651745,75.776978
5/7/2015,116.376266,89.404022,142.544617,73.631836,184.712585,125.823036,55.549969,77.53923
5/8/2015,118.568901,90.301643,143.953491,74.800201,187.622864,129.353439,56.049576,79.192398
5/11/2015,117.361092,89.229492,142.652969,73.545906,188.773819,129.73584,56.706486,80.056747
5/12/2015,116.943008,89.395721,142.17778,73.749313,187.65094,129.326752,56.243874,79.763039
5/13/2015,117.073074,89.512085,143.619995,73.359459,188.493118,129.495697,56.530685,79.838547
5/14/2015,119.804558,90.135422,145.095535,73.706932,189.606674,131.576614,56.641724,80.635765
5/15/2015,119.637329,90.681046,144.436981,74.028984,189.934219,130.616211,56.036961,79.712669
5/18/2015,120.956619,89.522652,144.270248,73.605232,191.515701,130.465012,55.999752,79.653938
5/19/2015,120.845154,88.154427,144.620377,73.723885,192.208145,130.767349,56.33469,79.729454
5/20/2015,120.835808,88.347481,144.85379,73.842529,191.908691,130.207138,56.771969,78.831543
5/21/2015,122.071541,88.54895,144.503693,73.910339,191.787064,131.034149,57.144119,78.37841
5/22/2015,123.139961,88.045311,143.570023,73.325546,194.454025,128.775421,56.799885,78.865128
5/26/2015,120.427025,86.702255,141.827682,72.333969,193.125244,126.987968,55.767159,78.428749
5/27/2015,122.675392,86.551147,143.386597,72.130585,195.633087,127.16581,56.474251,78.781197
5/28/2015,122.433838,86.660286,143.144836,72.130585,195.698807,126.570023,56.6045,78.907066
5/29/2015,121.040253,86.458832,141.427536,72.206856,193.54921,124.960457,55.916012,79.049728
6/1/2015,121.281799,86.148239,141.869354,72.147522,195.069855,125.609612,56.111401,78.990982
6/2/2015,120.742943,86.106277,141.427536,72.156021,193.774506,127.388153,56.362598,79.133659
6/3/2015,120.891586,85.762123,141.652603,71.994972,195.520447,127.886169,56.511471,79.318283
6/4/2015,120.185486,85.107384,140.368805,71.376312,196.06488,125.556236,57.441845,79.083298
6/5/2015,119.525826,85.275276,139.551819,71.427155,197.547989,125.147179,56.399815,80.518288
6/8/2015,118.73613,84.293152,137.834534,71.910217,196.928482,125.067162,55.96254,80.282074
6/9/2015,118.383064,84.293152,138.117966,71.681404,196.205719,124.586914,55.869499,81.235313
6/10/2015,119.739525,85.476723,140.818985,72.215332,200.063736,125.938644,56.381207,83.167084
6/11/2015,119.470093,84.880745,140.70224,72.113625,200.824066,127.130272,57.013866,83.403282
6/12/2015,118.15081,83.831482,139.210007,71.20681,199.998016,126.987968,57.339508,81.766754
6/15/2015,117.918549,83.34462,138.601501,70.952583,198.77771,126.534462,56.455635,81.184685
6/16/2015,118.550316,83.974182,139.085007,71.766174,200.467361,126.578903,56.195133,81.429329
6/17/2015,118.271584,83.739159,139.360092,71.808548,199.875961,127.548203,55.96254,81.361832
6/18/2015,118.810448,84.150475,140.260452,72.444153,201.443619,129.282288,56.130013,80.990669
6/19/2015,117.621239,83.495728,139.210007,72.215332,200.120041,129.059998,55.822983,79.286682
6/22/2015,118.559601,84.184052,139.826935,72.181427,203.236481,129.566895,55.581081,79.860298
6/23/2015,118.020721,84.016151,140.568878,72.09668,205.010635,128.437469,55.636902,79.961525
6/24/2015,119.024139,83.327835,139.193344,71.766174,201.284027,127.16581,55.236839,79.008301
6/25/2015,118.457405,82.54718,138.451416,71.130539,199.772736,126.676704,54.873993,79.295113
6/26/2015,117.760605,82.765442,137.934601,71.071205,200.101273,126.7034,54.808865,79.151703
6/29/2015,115.698044,81.162178,135.85878,70.189812,194.919662,123.368629,55.236839,77.869484
6/30/2015,116.534195,80.977516,135.600342,70.511848,195.989777,123.359779,54.985634,78.502159
7/1/2015,117.621239,80.658524,137.125992,69.808441,197.06929,125.147179,56.706841,79.050484
7/2/2015,117.472565,80.473862,137.626114,70.461014,196.374664,124.684769,57.274376,79.522858
